State Id,Program Title,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit ,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
43376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
43376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/14/2021,6/17/2021,Status of Completion Unknown,,,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
43376,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/14/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
507864,DC Infrastructure Academy,101,Orientation,1/22/2021,1/22/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
507864,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
507864,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
507864,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/12/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
507864,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
507864,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,,,,                              ,,,,,,,,,,,,,,
548629,DC Infrastructure Academy,101,Orientation,2/1/2021,2/1/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,9,0,221122,,,
548629,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,9,0,221122,,,
548629,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,9,0,221122,,,
548629,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,9,0,221122,,,
548629,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,9,0,221122,,,
548629,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,9,0,221122,,,
548629,DC Infrastructure Academy,893,Unsubsidized Employment,7/26/2021,7/26/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,7/28/2021,,7/26/2021,"Pepco Holdings, Inc.",Washington,DC,Substation Helper,40,23.93,1,1,9,0,221122,,,
255042,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/26/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
255042,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,4/30/2021,Unsuccessful Completion - Did Not Meet Requirement,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
513166,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
513166,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
513166,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
513166,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
150098,DC Infrastructure Academy,101,Orientation,2/3/2021,2/3/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,B. Frank Joy LLC,Washington,DC,Laborer,40,20,1,1,1,0,237990,,,
150098,DC Infrastructure Academy,104,Workshops,4/6/2021,4/6/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,B. Frank Joy LLC,Washington,DC,Laborer,40,20,1,1,1,0,237990,,,
150098,DC Infrastructure Academy,220,Job Readiness Training,2/16/2021,2/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,B. Frank Joy LLC,Washington,DC,Laborer,40,20,1,1,1,0,237990,,,
150098,DC Infrastructure Academy,313,Enrolled In State And Local Training,2/11/2021,2/12/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,B. Frank Joy LLC,Washington,DC,Laborer,40,20,1,1,1,0,237990,,,
150098,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/8/2021,5/14/2021,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,B. Frank Joy LLC,Washington,DC,Laborer,40,20,1,1,1,0,237990,,,
150098,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,5/14/2021,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,B. Frank Joy LLC,Washington,DC,Laborer,40,20,1,1,1,0,237990,,,
150098,DC Infrastructure Academy,893,Unsubsidized Employment,6/8/2021,6/8/2021,Successful Completion,,,5,2/12/2021,Successful Completion Employed,6/22/2021,,6/8/2021,B. Frank Joy LLC,Washington,DC,Laborer,40,20,1,1,1,0,237990,,,
474870,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/11/2021,2/26/2021,Unsuccessful Completion - Dropped Out,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
230184,DC Infrastructure Academy,104,Workshops,5/11/2021,5/11/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
230184,DC Infrastructure Academy,220,Job Readiness Training,5/17/2021,5/28/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
230184,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/2/2021,5/14/2021,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,,,,,,                              ,,,,,,,,,,,,,,
230184,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),2/3/2021,2/5/2021,Successful Completion,University of the District of Columbia (UDC),Fundamentals of Information Technology,,,,,,                              ,,,,,,,,,,,,,,
116094,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/1/2021,3/5/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
294078,DC Infrastructure Academy,226,Reading and/or Math Testing,3/16/2021,3/16/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
294078,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
294078,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
294078,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
294078,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
294078,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
262473,DC Infrastructure Academy,104,Workshops,7/16/2021,7/16/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
262473,DC Infrastructure Academy,220,Job Readiness Training,7/5/2021,7/16/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
262473,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/10/2021,7/2/2021,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
467706,DC Infrastructure Academy,104,Workshops,7/16/2021,7/16/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
467706,DC Infrastructure Academy,220,Job Readiness Training,7/5/2021,7/16/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
467706,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
467706,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/10/2021,7/2/2021,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
621869,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
621869,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/10/2021,6/28/2021,Unsuccessful Completion - Failed to Report,"CNI, LLC",Washington Gas Training Program,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
629171,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
47110,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
193345,DC Infrastructure Academy,226,Reading and/or Math Testing,3/15/2021,3/15/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
348044,DC Infrastructure Academy,226,Reading and/or Math Testing,3/15/2021,3/15/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
348044,DC Infrastructure Academy,220,Job Readiness Training,7/5/2021,7/16/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
348044,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/10/2021,7/2/2021,Successful Completion,"CNI, LLC",Washington Gas Training Program,5,7/3/2021,,,,                              ,,,,,,,,,,,,,,
222099,DC Infrastructure Academy,226,Reading and/or Math Testing,3/15/2021,3/15/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
222099,DC Infrastructure Academy,104,Workshops,4/28/2021,4/28/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
222099,DC Infrastructure Academy,220,Job Readiness Training,4/26/2021,5/7/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
222099,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/30/2021,7/2/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
146826,DC Infrastructure Academy,226,Reading and/or Math Testing,3/16/2021,3/16/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
146826,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
146826,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
146826,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
146826,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
146826,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
481041,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
562925,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
539454,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
539454,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
539454,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
539454,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
539454,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
539454,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
577988,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
66442,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
66442,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
66442,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
66442,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
66442,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
66442,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
96555,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
477027,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
354603,DC Infrastructure Academy,104,Workshops,4/28/2021,4/28/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
354603,DC Infrastructure Academy,220,Job Readiness Training,4/26/2021,5/7/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
354603,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
354603,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/30/2021,7/2/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
289454,DC Infrastructure Academy,104,Workshops,4/28/2021,4/28/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
289454,DC Infrastructure Academy,220,Job Readiness Training,4/26/2021,5/7/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
289454,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
289454,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/30/2021,7/2/2021,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
83403,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
215068,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
277679,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
631080,DC Infrastructure Academy,226,Reading and/or Math Testing,3/16/2021,3/16/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
400319,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
464902,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
464902,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/26/2021,5/26/2021,Successful Completion,ICE Training Center Inc.,CPR/AED Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
464902,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/27/2021,5/28/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
464902,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
464902,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
464902,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
516863,DC Infrastructure Academy,226,Reading and/or Math Testing,3/16/2021,3/16/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
452565,DC Infrastructure Academy,226,Reading and/or Math Testing,3/16/2021,3/16/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
629669,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
506394,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
93044,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
468163,DC Infrastructure Academy,226,Reading and/or Math Testing,3/16/2021,3/16/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
147674,DC Infrastructure Academy,226,Reading and/or Math Testing,3/17/2021,3/17/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
142561,DC Infrastructure Academy,226,Reading and/or Math Testing,3/18/2021,3/18/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
142561,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/30/2021,4/16/2021,Unsuccessful Completion - Dropped Out,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
472072,DC Infrastructure Academy,226,Reading and/or Math Testing,3/18/2021,3/18/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
472072,DC Infrastructure Academy,104,Workshops,4/28/2021,4/28/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
472072,DC Infrastructure Academy,220,Job Readiness Training,4/27/2021,5/7/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
472072,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/30/2021,6/14/2021,Unsuccessful Completion - Failed to Report,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
508963,DC Infrastructure Academy,226,Reading and/or Math Testing,3/18/2021,3/18/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
631364,DC Infrastructure Academy,104,Workshops,4/19/2021,4/19/2021,Successful Completion,"DC Department of Insurance, Securities and Banking",Bank on DC,,,,,,                              ,,,,,,,,,,,,,,
631364,DC Infrastructure Academy,220,Job Readiness Training,3/15/2021,3/26/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,,,,,,                              ,,,,,,,,,,,,,,
631364,DC Infrastructure Academy,226,Reading and/or Math Testing,3/15/2021,3/15/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
631364,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/4/2021,5/4/2021,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,,,,                              ,,,,,,,,,,,,,,
631364,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/5/2021,5/6/2021,Successful Completion,The Training Zone of the DMV,OSHA 30,,,,,,                              ,,,,,,,,,,,,,,
631364,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/29/2021,6/18/2021,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,,,,,,                              ,,,,,,,,,,,,,,
429183,DC Infrastructure Academy,226,Reading and/or Math Testing,3/19/2021,3/19/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
472658,DC Infrastructure Academy,226,Reading and/or Math Testing,3/19/2021,3/19/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
434628,DC Infrastructure Academy,226,Reading and/or Math Testing,3/19/2021,3/19/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
483500,DC Infrastructure Academy,226,Reading and/or Math Testing,3/19/2021,3/19/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
150387,DC Infrastructure Academy,226,Reading and/or Math Testing,3/19/2021,3/19/2021,Successful Completion,DC Department of Employment Services,Services to Individuals Seeking Employment,,,,,,                              ,,,,,,,,,,,,,,
631554,DC Infrastructure Academy,220,Job Readiness Training,6/1/2021,6/11/2021,Successful Completion,"Art and Soul Solutions, Inc.",Workforce Readiness Training,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
